ID,age,gender,pastvote_EURef,Vote2015R,social_grade,govregion,W8,starttime,endtime,disposition,Q1,Q2
1483,32,1,2,4,2,3,1.06773438656044,7/19/2016,7/19/2016,1,4,2
1503,60,2,1,2,1,3,.737398874816373,7/19/2016,7/19/2016,1,2,1
1509,53,2,2,4,2,3,.76077947825013,7/19/2016,7/19/2016,1,3,1
1520,49,2,1,2,2,3,.615784272003225,7/19/2016,7/19/2016,1,3,2
1536,58,2,1,2,2,3,.848152430490621,7/19/2016,7/19/2016,1,2,2
1556,20,1,2,7,1,3,1.08548364022468,7/19/2016,7/19/2016,1,3,2
1579,26,2,1,7,2,3,.487432776775175,7/19/2016,7/19/2016,1,1,1
1,70,2,2,1,1,2,1.0122219691877,7/19/2016,7/19/2016,1,4,1
6,72,1,1,1,1,2,.673732382598686,7/19/2016,7/19/2016,1,2,1
8,49,1,2,1,1,2,.908057722897384,7/19/2016,7/19/2016,1,4,1
22,52,2,2,1,2,2,1.15771324056554,7/19/2016,7/19/2016,1,2,1
25,81,2,2,1,2,2,.969036123542202,7/19/2016,7/19/2016,1,3,1
28,72,2,2,7,2,2,.762004108207305,7/19/2016,7/19/2016,1,4,1
32,73,1,2,4,1,2,.799279171506493,7/19/2016,7/19/2016,1,5,1
35,36,1,1,1,1,2,.971216419728071,7/19/2016,7/19/2016,1,2,1
43,41,1,1,1,1,2,.971216419728071,7/19/2016,7/19/2016,1,1,1
49,33,2,3,7,2,2,1.32793173776119,7/19/2016,7/19/2016,1,4,3
51,68,2,1,1,2,2,.705027606828358,7/19/2016,7/19/2016,1,2,1
55,53,1,1,3,1,2,.907100572205543,7/19/2016,7/19/2016,1,1,1
57,62,2,1,1,1,2,.643046070595156,7/19/2016,7/19/2016,1,1,1
61,70,2,2,1,1,2,1.53243607161204,7/19/2016,7/19/2016,1,1,1
69,63,2,1,3,2,2,.953627800320276,7/19/2016,7/19/2016,1,1,1
72,73,1,2,2,2,2,.811888648457498,7/19/2016,7/19/2016,1,2,1
73,72,1,2,7,1,2,1.10241526680441,7/19/2016,7/19/2016,1,4,1
84,73,2,1,1,1,2,.736447708375255,7/19/2016,7/19/2016,1,3,2
90,38,2,1,1,1,2,.658096608014689,7/19/2016,7/19/2016,1,3,1
92,66,2,1,1,2,2,.925791250401547,7/19/2016,7/19/2016,1,3,1
105,53,1,2,2,1,2,1.00400926679664,7/19/2016,7/19/2016,1,4,1
106,65,1,2,1,1,2,1.28270904319039,7/20/2016,7/20/2016,1,4,1
107,68,2,1,1,1,2,.736447708375255,7/19/2016,7/19/2016,1,3,3
112,62,2,1,7,1,2,.524520580530137,7/19/2016,7/19/2016,1,2,1
113,65,1,2,4,2,2,.73766572558614,7/19/2016,7/19/2016,1,5,1
128,54,1,3,7,2,2,2.05206059224504,7/19/2016,7/19/2016,1,3,1
129,40,2,2,1,1,2,1.00176311434867,7/19/2016,7/19/2016,1,4,1
132,75,2,1,1,1,2,.736447708375255,7/19/2016,7/19/2016,1,3,1
138,49,1,2,4,1,2,.936246310648799,7/19/2016,7/19/2016,1,4,1
143,76,2,1,1,2,2,1.40158576881774,7/19/2016,7/19/2016,1,3,2
145,43,2,1,2,1,2,.729527898469254,7/19/2016,7/19/2016,1,4,1
146,47,1,2,4,2,2,1.12531041796063,7/19/2016,7/19/2016,1,4,1
148,33,1,1,3,1,2,.897514770484359,7/19/2016,7/19/2016,1,1,1
